objectid;globalid;parentesco;nome;nome_soc;sexo;raca_cor;idade;seis_meses;nascimento;nome_mae;gravida;flag_cn;flag_rg;rg;flag_cpf;cpf;esc_5_anos;freq_esc;flag_ipma1;flag_ipma2;flag_ipma3;parentrowid;created_date;created_user;last_edited_date;last_edited_user
1;{27F13BA7-E141-48D5-B65D-10B29C233AD2};;;;;;;;;;;;;;;;;;0,000000000000000;0,000000000000000;0,000000000000000;{AFA4165C-D678-4C5F-B475-EAD075BCE267};16/10/2018 15:25:00;usuarioTS;16/10/2018 15:25:00;usuarioTS
2;{75D98147-ACF9-4981-B8F5-3A5147E4B386};1;Pedro;;M;2;26;;;;;1;2;;2;;0;0;1,000000000000000;0,000000000000000;0,000000000000000;{3A8F5505-07E1-41C1-9C15-7A9904E7594D};16/10/2018 15:55:00;usuarioTS;16/10/2018 15:55:00;usuarioTS
3;{CE20C18A-1082-4755-9A96-448205F5D811};3;Teste;;F;4;12;;;;0;1;0;;0;;;0;0,000000000000000;1,000000000000000;0,000000000000000;{3A8F5505-07E1-41C1-9C15-7A9904E7594D};16/10/2018 15:55:00;usuarioTS;16/10/2018 15:55:00;usuarioTS
4;{058EB201-1BA8-4F5A-B1C1-8AE7A16ECDD9};;;;;;;;;;;;;;;;;;0,000000000000000;0,000000000000000;0,000000000000000;{C6022E21-D312-4C17-8406-B8753CE3AE1F};16/10/2018 15:56:00;usuarioTS;16/10/2018 15:56:00;usuarioTS
5;{DFA73553-5E84-4721-ACF2-556F16CB8796};;;;;;;;;;;;;;;;;;0,000000000000000;0,000000000000000;0,000000000000000;{5DCB4C52-B2EC-45C7-924E-DC2E1966833E};16/10/2018 16:01:00;usuarioTS;16/10/2018 16:01:00;usuarioTS
6;{C82F4FB9-AA19-42C7-BF00-604430F298E3};1;Pedro;;M;1;50;;;;;1;2;;2;;1;0;0,000000000000000;0,000000000000000;0,000000000000000;{FABDEEE4-7188-4D1A-B596-7431C6BB459C};16/10/2018 16:07:00;usuarioTS;16/10/2018 16:07:00;usuarioTS
7;{189173A4-E3CA-4A3E-AD97-E90D8ECFEF3B};2;Teste;;F;3;30;;16/10/2018 03:00:00;;0;1;1;;1;;0;0;1,000000000000000;0,000000000000000;0,000000000000000;{FABDEEE4-7188-4D1A-B596-7431C6BB459C};16/10/2018 16:07:00;usuarioTS;16/10/2018 16:07:00;usuarioTS
8;{C7894697-DF8B-47F7-91AF-915A3C0D9AFA};3;Teste;;M;2;0;1;;;;0;0;;0;;;0;0,000000000000000;0,000000000000000;1,000000000000000;{FABDEEE4-7188-4D1A-B596-7431C6BB459C};16/10/2018 16:07:00;usuarioTS;16/10/2018 16:07:00;usuarioTS
9;{1B2C891D-49EF-4507-BAA6-C1486E264447};3;Teste;;M;1;4;;;;;1;0;;0;;;1;0,000000000000000;0,000000000000000;0,000000000000000;{FABDEEE4-7188-4D1A-B596-7431C6BB459C};16/10/2018 16:07:00;usuarioTS;16/10/2018 16:07:00;usuarioTS
10;{746041FE-092F-4380-BC3B-72200CB9FD95};4;Teste;;F;2;8;;16/10/2018 03:00:00;;;0;0;;0;;;0;0,000000000000000;1,000000000000000;0,000000000000000;{FABDEEE4-7188-4D1A-B596-7431C6BB459C};16/10/2018 16:07:00;usuarioTS;16/10/2018 16:07:00;usuarioTS
11;{2A0F9BED-74F8-4367-9BD3-11BE9C12A057};;;;;;;;;;;;;;;;;;0,000000000000000;0,000000000000000;0,000000000000000;{5C86AFBE-9DA6-4C18-92DF-67D2DDEC582C};16/10/2018 16:11:00;usuarioTS;16/10/2018 16:11:00;usuarioTS
12;{B3F26C91-31FC-41E3-86CE-F2B6A2E07959};1;Teste;;M;1;20;;;;;2;2;;2;;1;0;0,000000000000000;0,000000000000000;0,000000000000000;{E0D2CC06-054E-4678-B241-4B3EBBA5CE50};16/10/2018 16:21:00;usuarioTS;16/10/2018 16:21:00;usuarioTS
13;{23FCF1BB-CCBC-41BD-854C-CD15B62CCA5D};;;;;;;;;;;;;;;;;;0,000000000000000;0,000000000000000;0,000000000000000;{D6488BD7-2706-4963-91A4-31291BE9D644};16/10/2018 16:22:00;usuarioTS;16/10/2018 16:22:00;usuarioTS
14;{A5D184B6-DD8F-45E9-9D45-57D2E443712E};;;;;;;;;;;;;;;;;;0,000000000000000;0,000000000000000;0,000000000000000;{A4FECD91-7640-4A70-A836-A034F8A8F4AB};16/10/2018 16:24:00;usuarioTS;16/10/2018 16:24:00;usuarioTS
15;{524B9155-8371-44B5-9DE5-B3906E96BE94};;;;;;;;;;;;;;;;;;0,000000000000000;0,000000000000000;0,000000000000000;{DB177F34-F9B6-40E6-AB35-C16CFE87B53E};16/10/2018 16:26:00;usuarioTS;16/10/2018 16:26:00;usuarioTS
16;{2767B03E-7F3F-4E75-A4C1-5E32FA95D727};1;Pedro;;M;2;33;;;;;2;2;;2;;1;1;0,000000000000000;0,000000000000000;0,000000000000000;{DF15164C-E155-4D8B-B58C-D7883C5BB0ED};16/10/2018 16:29:00;usuarioTS;16/10/2018 16:29:00;usuarioTS
17;{136D1F80-7378-40D5-B4F7-9FD4335520F8};2;Angélica;;F;1;25;;;;1;2;1;;1;;0;1;1,000000000000000;0,000000000000000;0,000000000000000;{DF15164C-E155-4D8B-B58C-D7883C5BB0ED};16/10/2018 16:29:00;usuarioTS;16/10/2018 16:29:00;usuarioTS
